id,phrase,translation
1,你欲食啥菜色？,你想吃什麼菜？
2,我攏聽有啦。,我都有聽懂啦。
3,有代誌就直直講。,有事就直說吧。
4,咱明仔載再聯絡。,我們明天再聯絡吧。
5,今仔日有空無？,你今天有空嗎？
6,伊攏照顧咱全家。,他照顧我們全家。
7,我陪你去醫院。,我陪你去醫院。
8,來，咱來切磋一下。,來，我們來交流一下。
9,今仔日天氣真好。,今天天氣真好。
10,真久無見了。,好久不見了。
11,這是我的心意。,這是我的一點心意。
12,我欲去市場買菜。,我要去市場買菜。
13,恁家內攏好無？,你家裡都好嗎？
14,你欲佮我作伴去無？,你要跟我一起去嗎？
15,來，恁嘛坐啦。,來，你也坐吧。
16,你是對咧講啥？,你是在說什麼？
17,咱來討論一下。,我們來討論一下。
18,那馬幾點矣？,現在幾點了？
19,伊看起來真熟似。,他看起來很面熟。
20,這攤攏算我的。,這頓我來付錢。
21,我陪你走一段。,我陪你走一段路。
22,那馬幾點矣？,現在幾點了？
23,我嘛有相款的經驗。,我也有類似的經驗。
24,這是好機會。,這是一個好機會。
25,我嘛有同款想法。,我也有一樣的想法。
26,今仔日天氣真好。,今天天氣真好。
27,來，恁嘛坐啦。,來，你也坐吧。
28,你好啊，最近好無？,你好啊，最近還好嗎？
29,這攤攏算我的。,這頓我來付錢。
30,我嘛有同款想法。,我也有一樣的想法。
31,彼件事已經過矣。,那件事已經過去了。
32,這馬是欲按怎？,現在該怎麼辦？
33,攏總攏是你啦！,全都是你的錯啦！
34,咱來討論一下。,我們來討論一下。
35,彼條路真難行。,那條路真的不好走。
36,我攏聽有啦。,我都有聽懂啦。
37,我欲去市場買菜。,我要去市場買菜。
38,來，咱來切磋一下。,來，我們來交流一下。
39,伊講話真有道理。,他講話真有道理。
40,攏好攏好，毋免驚。,都好都好，不用怕。
41,毋免客氣啦。,不用客氣啦。
42,這陣子攏做啥？,最近都在做什麼？
43,阮是老朋友矣。,我們是老朋友了。
44,來，咱來切磋一下。,來，我們來交流一下。
45,講話攏真有禮貌。,講話都很有禮貌。
46,來，恁嘛坐啦。,來，你也坐吧。
47,我感覺真親切。,我覺得很親切。
48,食飽就好眠啦。,吃飽就好睡啦。
49,來，咱來切磋一下。,來，我們來交流一下。
50,這杯咖啡真香。,這杯咖啡真香。
51,這馬欲開始矣。,現在要開始了。
52,感謝你啦，真欽欽你。,謝謝你，真的很感激你。
53,這馬欲開始矣。,現在要開始了。
54,免傷心，會過去。,別難過，會過去的。
55,做事要有耐心。,做事要有耐心。
56,我攏照顧好矣。,我都照顧好了。
57,看你笑嘻嘻，真好。,看你笑得那麼開心，真好。
58,請你再講一遍。,請你再說一遍。
59,咱來食甜點好無？,我們來吃點甜點好嗎？
60,你人真好。,你人真的很好。
61,慢慢來，無關係。,慢慢來，沒關係。
62,免驚，有我佇咧。,別怕，有我在。
63,下擺再約出來食飯。,下次再約出來吃飯。
64,咱來加油一下。,我們來加油一下吧。
65,這杯咖啡真香。,這杯咖啡真香。
66,你有看著彼齣戲無？,你有看那齣戲嗎？
67,下擺再約出來食飯。,下次再約出來吃飯。
68,來，咱來切磋一下。,來，我們來交流一下。
69,這陣子攏做啥？,最近都在做什麼？
70,請你再講一遍。,請你再說一遍。
