id,phrase,translation
1,咱來佇這裡坐一下。,我們在這邊坐一下吧。
2,看情形再講啦。,看情況再說啦。
3,你家住佇哪位？,你家住哪裡？
4,今仔日心情真好。,今天心情很好。
5,這攤我請就好。,這頓我請客就好。
6,我幫你問問看。,我幫你問看看。
7,好久無見，想你了。,好久沒見到你，想你了。
8,這件代誌無簡單。,這件事不簡單。
9,咱來加油一下。,我們來加油一下吧。
10,我感覺真親切。,我覺得很親切。
11,我嘛攏有準備啦。,我也都準備好了啦。
12,這件代誌交予我。,這件事交給我。
13,你家住佇哪位？,你家住哪裡？
14,這是我的心意。,這是我的一點心意。
15,你講的是對的。,你說的是對的。
16,這杯咖啡真香。,這杯咖啡真香。
17,我嘛有同款想法。,我也有一樣的想法。
18,咱來佇這裡坐一下。,我們在這邊坐一下吧。
19,這杯咖啡真香。,這杯咖啡真香。
20,你是欲去佗位？,你要去哪裡？
21,伊講話真有趣。,他說話真有趣。
22,那馬幾點矣？,現在幾點了？
23,這攤我請就好。,這頓我請客就好。
24,那馬幾點矣？,現在幾點了？
25,這攤攏算我的。,這頓我來付錢。
26,彼件事已經過矣。,那件事已經過去了。
27,你講得真有影。,你講得真的有道理。
28,這馬欲開始矣。,現在要開始了。
29,有代誌就直直講。,有事就直說吧。
30,下雨天攏無人出門。,下雨天大家都不出門。
31,來，恁嘛坐啦。,來，你也坐吧。
32,下次我請你。,下次我請你吃飯。
33,恁爸有在厝無？,你爸在家嗎？
34,真歡喜見到你。,很高興見到你。
35,毋免客氣啦。,不用客氣啦。
36,伊講話真有趣。,他說話真有趣。
37,你佇做咩代誌？,你在忙什麼？
38,你咧想咩代誌？,你在想什麼事情？
39,真歡喜見到你。,很高興見到你。
40,這是你愛的物件無？,這是你喜歡的東西嗎？
41,你欲食啥菜色？,你想吃什麼菜？
42,我攏有聽清楚啦。,我都有聽清楚啦。
43,你食飽未？,你吃飽了嗎？
44,這是你愛的物件無？,這是你喜歡的東西嗎？
45,伊看起來真熟似。,他看起來很面熟。
46,你有咧做啥代誌？,你在做什麼事？
47,你人真好。,你人真的很好。
48,我嘛攏有準備好矣。,我也都準備好了。
49,毋通緊張啦。,不要緊張啦。
50,有啥需要攏會曉。,有什麼需要我都知道。
51,你感覺如何？,你感覺怎麼樣？
52,咱來加油一下。,我們來加油一下吧。
53,咱明仔載再聯絡。,我們明天再聯絡吧。
54,做事要有耐心。,做事要有耐心。
55,咱明仔載再聯絡。,我們明天再聯絡吧。
56,免驚，有我佇咧。,別怕，有我在。
57,咱來佇這裡坐一下。,我們在這邊坐一下吧。
58,我攏聽有啦。,我都有聽懂啦。
59,這馬欲開始矣。,現在要開始了。
60,我攏照顧好矣。,我都照顧好了。
61,彼件衫真合你穿。,那件衣服很適合你穿。
62,真久無見了。,好久不見了。
63,真歡喜見到你。,很高興見到你。
64,我嘛有同款想法。,我也有一樣的想法。
65,來，咱來切磋一下。,來，我們來交流一下。
66,你食飽未？,你吃飽了嗎？
67,我感覺真親切。,我覺得很親切。
68,這攤我請就好。,這頓我請客就好。
69,我欲去市場買菜。,我要去市場買菜。
70,阮是老朋友矣。,我們是老朋友了。
71,伊講話真有道理。,他講話真有道理。
72,我攏聽有啦。,我都有聽懂啦。
73,你是對咧講啥？,你是在說什麼？
74,你有咧做啥代誌？,你在做什麼事？
75,有代誌就直直講。,有事就直說吧。
76,我欲去市場買菜。,我要去市場買菜。
77,感謝你啦，真欽欽你。,謝謝你，真的很感激你。
78,請你再講一遍。,請你再說一遍。
79,真感謝你幫忙。,真的很謝謝你幫忙。
80,你有咧做啥代誌？,你在做什麼事？
81,我感覺真親切。,我覺得很親切。
82,咱來食甜點好無？,我們來吃點甜點好嗎？
83,彼件事已經過矣。,那件事已經過去了。
84,咱明仔載再聯絡。,我們明天再聯絡吧。
85,你有看著彼齣戲無？,你有看那齣戲嗎？
86,你食飽未？,你吃飽了嗎？
87,攏是天註定的。,都是命中註定的。
88,恁爸有在厝無？,你爸在家嗎？
89,我陪你去醫院。,我陪你去醫院。
90,今仔日心情真好。,今天心情很好。
91,我陪你走一段。,我陪你走一段路。
92,我攏有聽清楚啦。,我都有聽清楚啦。
93,攏是天註定的。,都是命中註定的。
94,真久無見了。,好久不見了。
95,伊攏照顧咱全家。,他照顧我們全家。
96,這件代誌無簡單。,這件事不簡單。
97,慢慢來，無關係。,慢慢來，沒關係。
98,我陪你走一段。,我陪你走一段路。
99,有咩代誌攏好講。,有什麼事都可以說。
100,你食飽未？,你吃飽了嗎？
101,看情形再講啦。,看情況再說啦。
102,伊攏照顧咱全家。,他照顧我們全家。
103,你是對咧講啥？,你是在說什麼？
104,咱來討論一下。,我們來討論一下。
105,有代誌就直直講。,有事就直說吧。
106,請你再講一遍。,請你再說一遍。
107,我攏聽有啦。,我都有聽懂啦。
108,你有咧做啥代誌？,你在做什麼事？
109,下擺再約出來食飯。,下次再約出來吃飯。
110,咱來佇這裡坐一下。,我們在這邊坐一下吧。
111,看你笑嘻嘻，真好。,看你笑得那麼開心，真好。
112,伊講話真有道理。,他講話真有道理。
113,攏總攏是你啦！,全都是你的錯啦！
114,阮是老朋友矣。,我們是老朋友了。
115,下次我請你。,下次我請你吃飯。
116,我欲去市場買菜。,我要去市場買菜。
117,免客氣啦，攏自己人。,不用客氣啦，大家自己人。
118,你有咧做啥代誌？,你在做什麼事？
119,請你再講一遍。,請你再說一遍。
120,你有閒來坐一下。,你有空來坐坐。
121,我攏聽有啦。,我都有聽懂啦。
122,咱來討論一下。,我們來討論一下。
123,我攏有聽清楚啦。,我都有聽清楚啦。
124,我嘛攏有準備啦。,我也都準備好了啦。
125,伊攏照顧咱全家。,他照顧我們全家。
126,伊看起來真熟似。,他看起來很面熟。
127,無關係，慢慢講。,沒關係，慢慢說。
128,這是我的心意。,這是我的一點心意。
129,攏總攏是你啦！,全都是你的錯啦！
130,彼條路真難行。,那條路真的不好走。
131,你欲食啥菜色？,你想吃什麼菜？
132,我幫你問問看。,我幫你問看看。
133,毋通緊張啦。,不要緊張啦。
134,恁細漢真乖喔。,你小孩真乖喔。
135,我欲去市場買菜。,我要去市場買菜。
136,恁家內攏好無？,你家裡都好嗎？
137,下次我請你。,下次我請你吃飯。
138,看情形再講啦。,看情況再說啦。
139,無關係，慢慢講。,沒關係，慢慢說。
140,恁細漢真乖喔。,你小孩真乖喔。
141,攏好攏好，毋免驚。,都好都好，不用怕。
142,你是欲去佗位？,你要去哪裡？
143,你有咧做啥代誌？,你在做什麼事？
144,無關係，慢慢講。,沒關係，慢慢說。
145,彼件事已經過矣。,那件事已經過去了。
146,免客氣啦，攏自己人。,不用客氣啦，大家自己人。
147,毋免客氣啦。,不用客氣啦。
148,你攏好無？,你一切都還好嗎？
149,講話攏真有禮貌。,講話都很有禮貌。
150,下次我請你。,下次我請你吃飯。
151,我嘛有相款的經驗。,我也有類似的經驗。
152,彼件衫真合你穿。,那件衣服很適合你穿。
153,免傷心，會過去。,別難過，會過去的。
154,我嘛攏有準備好矣。,我也都準備好了。
155,彼件事已經過矣。,那件事已經過去了。
156,那馬幾點矣？,現在幾點了？
157,今仔日心情真好。,今天心情很好。
158,你欲佮我作伴去無？,你要跟我一起去嗎？
159,有啥需要攏會曉。,有什麼需要我都知道。
160,感謝你啦，真欽欽你。,謝謝你，真的很感激你。
161,免傷心，會過去。,別難過，會過去的。
162,今仔日有空無？,你今天有空嗎？
163,伊看起來真熟似。,他看起來很面熟。
164,恁家內攏好無？,你家裡都好嗎？
165,歡迎你來阮厝。,歡迎你來我家。
166,你講得真有影。,你講得真的有道理。
167,請你再講一遍。,請你再說一遍。
168,咱來佇這裡坐一下。,我們在這邊坐一下吧。
169,下雨天攏無人出門。,下雨天大家都不出門。
170,恁細漢真乖喔。,你小孩真乖喔。
171,我欲先轉去了。,我要先回去了。
172,你好啊，最近好無？,你好啊，最近還好嗎？
173,你欲食啥菜色？,你想吃什麼菜？
174,我陪你走一段。,我陪你走一段路。
175,有代誌就直直講。,有事就直說吧。
176,攏總攏是你啦！,全都是你的錯啦！
177,咱明仔載再聯絡。,我們明天再聯絡吧。
178,伊講話真有趣。,他說話真有趣。
179,這是我的心意。,這是我的一點心意。
180,做事要有耐心。,做事要有耐心。
181,有代誌就直直講。,有事就直說吧。
182,我攏照顧好矣。,我都照顧好了。
183,我攏聽有啦。,我都有聽懂啦。
184,你人真好。,你人真的很好。
185,講話攏真有禮貌。,講話都很有禮貌。
186,阮是老朋友矣。,我們是老朋友了。
187,這陣子攏做啥？,最近都在做什麼？
188,這件代誌無簡單。,這件事不簡單。
189,看情形再講啦。,看情況再說啦。
190,恁細漢真乖喔。,你小孩真乖喔。
191,你咧想咩代誌？,你在想什麼事情？
192,你欲佮我作伴去無？,你要跟我一起去嗎？
