transcription,file,中文意譯
紲落來看新竹市明仔載二十六號的天氣,C:\Users\User\audio_model\standard\IU_IUF1001\A025-1.1.wav,接下來看新竹市明天二十六號的天氣
溫度二十九至三十三度，落雨機率六十pha,C:\Users\User\audio_model\standard\IU_IUF1001\A025-1.2.wav,溫度二十九到三十三度，降雨機率百分之六十
來賓六百六十四號請來二十號櫃台辦理,C:\Users\User\audio_model\standard\IU_IUF1001\A025-1.3.wav,來賓六百六十四號請到二十號櫃台辦理
攏總四十九箍，找你五十一箍,C:\Users\User\audio_model\standard\IU_IUF1001\A025-1.4.wav,"總共四十九元, 找你五十一元"
今仔日是三月初一，拜五,C:\Users\User\audio_model\standard\IU_IUF1001\A025-1.5.wav,今天是農曆三月初一，禮拜五
我的護照號碼是五二三九五一七空,C:\Users\User\audio_model\standard\IU_IUF1001\A025-1.6.wav,我的護照號碼是五二三九五一七空
阮兜的電話號碼是空六三二九五一八二,C:\Users\User\audio_model\standard\IU_IUF1001\A025-1.7.wav,我家的電話號碼是零六三二九五一八二
伊佇一九四四年出世,C:\Users\User\audio_model\standard\IU_IUF1001\A025-1.8.wav,他在一九四四年出生
請幫我轉分機五七五五,C:\Users\User\audio_model\standard\IU_IUF1001\A025-1.9.wav,請幫我轉分機五七五五
丈姆，丈人爸生日，著愛伴某轉外家共𪜶作壽。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-2.1.wav,丈人、丈姆生日的時候，要陪老婆回娘家一起祝賀。
𪜶送扁、聯、中堂、花籃、花箍。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-2.10.wav,他們送扁禮、聯軸、中堂、花籃、花圈。
阿啄仔予人請去厝食飯會紮禮物，捾燒酒較濟。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-2.11.wav,外國人被邀請到人家家裡吃飯會帶禮物，帶比較多的酒。
事後會寫Card去說謝。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-2.12.wav,事後會寫卡片去道謝。
台灣人普渡拜拜謝神請人客，無收禮金，通講是食免驚的。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-2.13.wav,臺灣人普渡祭拜拜拜答謝神明，不收紅包，算是吃免錢的。
台灣式的作壽嘛無收賀金，若送禮物會收；,C:\Users\User\audio_model\standard\IU_IUF1001\A025-2.14.wav,台灣的喪事也不收奠儀，如果送禮品會收；
辦桌的酒菜抑是料金通常是囝婿負擔。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-2.15.wav,辦桌的酒菜或費用通常由女方兒子負擔。
陪綴的時，收人的禮金愛登記保存好勢，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-2.16.wav,伴嫁的時候，收人家的紅包要登記保存好。
後擺換別人有紅白事，參考記錄，會使添，袂使減。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-2.17.wav,以後換別人有喜喪事，可以參考紀錄，可以增加，不可以減少。
學生佮先生有禮無數，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-2.18.wav,學生跟老師有禮貌的次數不多，
好禮就好，免送禮物，嘛無啥謝師宴。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-2.19.wav,有禮就好，不用送禮物，也不用說謝師宴。
查某囝抾囡仔，做外家的攏愛掠精牲仔去共做月內。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-2.2.wav,女兒生產之後，做人家的都要把精牲類拿去給孕婦補品。
若有學生厚禮數一定欲請，先生大概會接受。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-2.20.wav,如果有學生有禮貌的表示一定會接受，老師大概會答應。
外孫收瀾、度晬，外家攏愛去共掛頷。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-2.3.wav,外孫洗浴、滿四個月，外家都要去給小孩子掛紅絲巾。
外甥𤆬某，母舅送大禮，坐大位。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-2.4.wav,姪子娶妻，舅舅送大禮，坐大位。
俗語講：天頂天公，地裡母舅公。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-2.5.wav,俗話說：上天有神明，下土有祖先。
親情朋友互相陪綴是入厝，嫁娶包紅包佮喪事包白包。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-2.6.wav,親戚朋友相互陪伴是入宅，嫁娶包禮金跟喪事包奠儀。
姻親關係的閣愛送聯，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-2.7.wav,姻親關係還要送喜帖，
喜事紅布聯，喪事紺的；共銀票擢佇聯裡。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-2.8.wav,喜事用紅色的綢緞做成的聯軸，喪事用黑色的綢緞做成的聯軸；將鈔票插在聯軸中。
聲望地位懸的較袂送紅、白包，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-2.9.wav,聲望地位高的人比較不會送禮盒、大紅包，
遮是佗位？,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.1.wav,這裡是哪裡？
葉仔嘛敢若一欉一款，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.10.wav,葉子好像是一棵一樣，
有圓的、尖的、鴨爪型的、長liau的，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.11.wav,有圓的、尖的、鵝爪型的、長條形的，
看甲目睭花花。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.12.wav,看了眼花撩亂。
這个房間予四箍輾轉的樹仔包牢咧，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.13.wav,這個房間被四處伸展的樹木包著，
樹仔的尻脊骿後有水沖咧唱歌，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.14.wav,樹的後面有水流在唱歌，
水沖的跤邊全青苔，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.15.wav,水沖的旁邊全都是青苔，
青苔𬦰起去石壁、路面、橋頂。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.16.wav,青苔長在石壁、地面、橋面上。
水沖無講蓋大，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.17.wav,水流溝不至於太大，
彼水斷斷仔流，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.18.wav,那水稍微的時，
敢若有人對石頭縫車倒水；,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.19.wav,好像有人從石縫中舀水來淋；
作者：陳豐惠,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.2.wav,作者：陳豐惠
石壁邊一寡樹椏發出幾粒若米的葉仔，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.20.wav,石壁旁一些枯枝發了幾片像米粒的葉子，
親像查埔人剃無清氣的下頦，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.21.wav,好像男人沒有刮鬍子的下巴，
樹葉予蟲齧過，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.22.wav,樹葉被蟲蛀掉了，
貓貓蛀蛀，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.23.wav,貓咪的牙齒蛀牙了，
一寡毋知啥名的蟲豸佇遐賴賴趖。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.24.wav,一些不知名的蟲子在那裡爬來爬去。
日時斷斷仔流的水沖，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.25.wav,白天偶爾會流的溪水，
到暗時煞好膽起-來，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.26.wav,到了晚上卻變得很勇敢，
勇敢喊喝，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.27.wav,勇敢大聲叫出聲，
袂輸驚人聽袂著伊欲講的話；,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.28.wav,好像很怕別人聽不到他要說的話；
水沖聲內底敢若藏一半隻仔水雞咧嘓嘓嘓，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.29.wav,水沖聲裡面好像藏了一隻小青蛙在叫，
毋捌坐佇厝裡予遮爾濟樹仔看過！,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.3.wav,沒坐在家裡被這麼多樹木包圍過！
嘛敢若毋但水雞niâ，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.30.wav,也像是青蛙，
閣啥物蟲豸咧叫，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.31.wav,還有什麼蟲在叫，
一陣一陣，遠遠的感覺。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.32.wav,一陣一陣的，遙遠感。
遠遠的聲，近近的水沖，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.33.wav,遠遠的聲音，近距離的水沖，
我睏佇水沖內底，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.34.wav,我睡在水沖裡面，
真甜，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.35.wav,很甜，
無眠夢。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.36.wav,沒夢到夢境。
一个佇庄跤開美容院的阿姊講，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.37.wav,一個在鄉下開的美容院的姊姊說，
庄跤人逐工看山看水無感覺稀罕，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.38.wav,鄉下人每天看山看水不覺得稀奇，
都市人煞共遮个光景當做寶，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.39.wav,都市人卻將這些美景視為寶，
對這間安二十六塊窗仔的房間看對外口去，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.4.wav,從這間有二十六扇窗子的房間看出去，
實在想袂曉。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.40.wav,實在想不通。
一个朋友講，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.41.wav,一個朋友說，
來水沖這个所在敢若去日本渡假咧，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.42.wav,來水沖這個地方好像在度假一樣，
雖然較遠，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.43.wav,雖然比較遠，
毋閣有價值。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.44.wav,不過是有價值的。
景色已經予心內的CAMERA翕起-來，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.45.wav,景色已經被心中的 CAMERA 拍下，
樹仔山、掣流的溪水，彩色的蝶仔，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.46.wav,樹木、急流的水、多彩的蝴蝶，
予原始植物崁牢的石壁。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.47.wav,被原始植物覆蓋的岩壁。
聽講這个所在號做「桃花源」，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.48.wav,聽說這個地方叫做「桃花源」，
敢講地主刁工照中國冊所記載的來起造這片樂園？,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.49.wav,難道地主故意依照中國典籍所記載的來建造這塊樂園嗎？
四界攏有一片一片的樹仔，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.5.wav,到處都有一片一片的樹木，
是毋是猶未創造家己國家的好額人，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.50.wav,是不是還沒創造出自己國家的富裕的人，
先創造一个人間天堂來安慰台灣人無國的稀微？,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.51.wav,先創造出一個人間天堂來安慰沒有國家的臺灣人悲慘的處境？
欲有家己的國家，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.52.wav,要有自己的國家，
敢比上天堂較僫？,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.53.wav,難道不是比上天堂還難嗎？
水沖頭前石頭頂徛一身白翎鷥，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.54.wav,水沖前面有一隻白色的鷺鷥站在石塊上，
袂振袂動，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.55.wav,不能動彈，
車欲起行矣，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.56.wav,車子要出發了，
我袂赴看伊展翼飛起來。,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.57.wav,我來不及看到他展翅高飛。
樹仔疊起來變做山，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.6.wav,樹木堆積成山，
玉仔色的、磚仔色的、弓蕉色的，,C:\Users\User\audio_model\standard\IU_IUF1001\A025-3.7.wav,玉色、磚紅色、黃色的，
